Title,Author,Summary,Categories & Tags,Rating,Rank
Eternal Tale,Zi Ling Fengxue,"【Light-hearted and humorous + No female lead + No knives + Survivalist protagonist】- caution, this story is engaging.Chen Xun traversed into the vast and boundless world of cultivation, awakening the Immortal Ascension System, which unexpectedly granted him a companion, a long-lived spiritual beast.I, Chen Xun, have no interest in fighting or killing, nor do I wish to provoke anyone. I only want to travel the world with my old ox and witness all the worldly splendors. However, one day, I inadvertently discovered a secret….","Action, Adventure, Comedy, Fantasy, Xianxia, Beast Companions, Cautious Protagonist, Childish Protagonist, Cultivation, Death of Loved Ones, Fantasy Creatures, Fantasy World, Heartwarming, Hiding True Abilities, Immortals, Male Protagonist, Slow Growth at Start, Strong to Stronger, Time Skip, Transmigration, World Travel, ",4.5,187
Is It Bad That the Main Character’s a Roleplayer?,Haeinseol,I’m a roleplayer. A gamer who creates characters according to their classes and happily acts as them.“Don’t… Touch me……”“Talk more and see if you can handle my wrath……”My current character was a Demon Knight who kept a Demon sealed in his right arm! One day while I was just acting as my character and enjoying the game as usual……“Log out.”[This command cannot be carried out.]“……? Log out.”[This command cannot be carried out.]“……???”And as if not being able to log out wasn’t enough…“You disgusting Demon! So you finally took over Sir Demon Knight’s body!”“My eyes cannot be deceived! Sir Demon Knight isn’t that kind!”Because of my damn companions I couldn’t even stop role playing!Can this role playing gamer faithful to their setting ever return to reality?,"Action, Adventure, Comedy, Fantasy, Adventurers, Chuunibyou, Demons, Depictions of Cruelty, Elemental Magic, Enemies Become Allies, Evil Organizations, Game Elements, Male Protagonist, Misunderstandings, Multiple POV, Possession, Priests, Protagonist Strong from the Start, Religions, Strong to Stronger, Sword And Magic, Sword Wielder, Thieves, Transmigration, Transported into a Game World, Wizards, ",4.7,1188
Becoming Professor Moriarty’s Probability,Kim Mamo,"I fervently critiqued the development of a Sherlock Holmes-based mystery gal game.Villain Maker: Fulfilling the probability of Professor Moriarty’s appearance.Love-Hate Relationship: Becoming ‘that man’ for Holmes.Lady of London: Completing one sham marriage with Watson.Freeze: Receiving a confession from Inspector Lestrade.Phantom Thief’s Treasure: Getting kidnapped by the Phantom Thief Lupin.In doing so, become this twisted world’s very probability.Best wishes, Mr. Isaac Adler.I’m screwed.","Action, Fantasy, Harem, Mystery, Psychological, Romance, Antihero Protagonist, Award-winning Work, Beastkin, Beautiful Female Lead, Childhood Promise, Clingy Lover, C*nnilingus, Contracts, Cunning Protagonist, Demi-Humans, Dense Protagonist, Detectives, Dragons, Enemies Become Lovers, Famous Protagonist, Fanfiction, First-time Interc**rse, Harem-seeking Protagonist, Hated Protagonist, Male Protagonist, Matriarchy, Misunderstandings, Monsters, Mysterious Past, Obsessive Love, Older Love Interests, Organized Crime, Polygamy, Proactive Protagonist, Quirky Characters, R-18, Race Change, Racism, Reverse Rape, S*aves, Strong Love Interests, Transmigration, Transported into a Game World, Unconditional Love, Vampires, Yandere, ",3.4,369
Otherworld TRPG Game Master,1_394,"I became a wizard of the Illusion Magic School and decided to create a virtual reality with illusion magic to play a tabletop role-playing game (TRPG).It was great to create a virtual reality, but I was in trouble because there were no suitable players. During that time, I received an offer to be the professor from the Royal Academy.The offer was to use illusion magic to fill the students’ lack of practical experience safely. And so, I became a professor at the academy.“Send me back, send me back to that world right now-!”“Outer god, someday an outer god will be our doom, we’ll all die!!”“I am not the bastard of the Redburn Ducal Family. I am the foremost disciple of the Great Namgung Clan, Namgung Qinghui!”But it seems there is a bit of a misunderstanding.This isn’t a spell for dimensional travel, kids. It’s fiction…","Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Psychological, School Life, Sci-fi, Academy, Anti-social Protagonist, Apathetic Protagonist, Aristocracy, Butlers, Calm Protagonist, Carefree Protagonist, Comedic Undertone, Cosplay, ",4.8,353
A Depressed Kendo Player Possesses a Bastard Aristocrat,Amateth Hyung,"Don’t worry, Mom.This time I will be truly happy.","Action, Drama, Fantasy, Harem, Mature, Psychological, School Life, Tragedy, Abusive Characters, Academy, Aristocracy, Assassins, Awkward Protagonist, Broken Engagement, Child Abuse, Childhood Friends, Complex Family Relationships, Cowardly Protagonist, Dark, Death, Death of Loved Ones, Delusions, Demons, Dense Protagonist, Depictions of Cruelty, Depression, Dishonest Protagonist, Drugs, Elemental Magic, Emotionally Weak Protagonist, Evil Organizations, Evil Religions, Family Conflict, Fantasy Creatures, Fantasy World, Flashbacks, Game Elements, Goddesses, Gods, Handsome Male Lead, Harsh Training, Hated Protagonist, Helpful Protagonist, Hidden Abilities, Hiding True Abilities, Indecisive Protagonist, Inferiority Complex, Lack of Common Sense, Loneliness, Magic, Magic Beasts, Maids, Male Protagonist, Mind Break, Misunderstandings, Mob Protagonist, Monsters, Multiple Realms, Naive Protagonist, Nobles, Outcasts, Overpowered Protagonist, Past Plays a Big Role, Past Trauma, Personality Changes, Possession, Protagonist Strong from the Start, Psychopaths, Reincarnated in Another World, Reincarnation, Sadistic Characters, Schizophrenia, Second Chance, Secret Organizations, Selfless Protagonist, Sickly Characters, Social Outcasts, Special Abilities, Strong to Stronger, Suicides, Sword And Magic, Sword Wielder, System Administrator, Timid Protagonist, Torture, Tragic Past, Twisted Personality, Unreliable Narrator, Younger Sisters, ",3.8,139
Genetic Ascension,Awespec,"The people of Earth have been summoned once againScientists document six extinction events in Earth's history, but none of them were as natural as they claimed.Sylas and his family have been called back to the Browns, a family of billionaire elites with assets reaching into the trillions. He isn't sure what to expect until he touches a floating bronze cube that changes his life.[Bronze City Stele][Status: Dormant][Time to Activation: 04:13:38]Unfortunately, there's only one Stele and the Browns have already decided upon their candidates. If Sylas wants to control his own fate, he'll have to enter the Trial.Now, woefully unprepared, and stuck in a world filled with the extinct creatures of Earth, he'll have to carve out his own opportunity... whether the Browns like it or not.","Fantasy, Action, Adventure, Action, System, Overpowered, Survival, Mystery, Dark, Adventure, Weak to Strong, ",4.2,39
Greatest Legacy of the Magus Universe,Esenel,"The white lotus, a legendary artifact rumored to contain the very secrets of the soul, granted its wielder otherworldly power. Countless powerful Magi from all across the universe waged an epic battle over it.When the dust settled from their fierce clash, the artifact disappeared, awaiting to be inherited by one with great destiny.Adam dreamed of breaking free from the grip of poverty, yearning for a life of riches and comfort. Yet, in a world ruled by arcane spellcasters, achieving such a dream meant becoming one himself.However, learning magic was an expensive aspiration. Not only did it require talent, but also vast resources, neither of which he had.But one day everything changed when he stumbled upon a mysterious white lotus...","Fantasy, Adventure, Action, Comedy, No Harem, Academy, Magic, Adventure, Weak to Strong, Action, Comedy, Antihero Protagonist, ",4.0,135
"I’m an Infinite Regressor, But I’ve Got Stories to Tell",Sinnoa,"[Infinite Regression Genre]
In any fantasy novel, regression is a guaranteed cheat key!What if it’s the ability of [Infinite Regression]?There’d be no need to worry about any bad endings. After all, the protagonist would eventually reach a happy ending.“Cheat key, my foot.”I tried it myself just to find out otherwise.The myths of regressors’ success depicted in all those novels are actually fake…It was all just vile propaganda!“This run is doomed too.”This is not a story of success; it’s a tale on the aftermath of failures.Thus begins the heartfelt documentary of a man with 1183 runs of experience!","Action, Drama, Fantasy, Seinen, Tragedy, Antihero Protagonist, Apocalypse, Calm Protagonist, Caring Protagonist, Clever Protagonist, Comedic Undertone, Death, Determined Protagonist, Eidetic Memory, Fairies, Gate to Another World, Guilds, Helpful Protagonist, Magic, Male Protagonist, Mature Protagonist, Modern Day, Monsters, Mysterious Past, Non-linear Storytelling, Overpowered Protagonist, Past Trauma, Polite Protagonist, Previous Life Talent, Righteous Protagonist, Saving the World, Second Chance, Special Abilities, Time Loop, ",4.9,162
Advent of the Three Calamities,Entrail_JI,"[From the Author of Author's POV...]Emotions are like a drug to us.The more we experience them, the more we become addicted.The hardest part is not letting them consume us.But it's already too late for me.I've already been swallowed whole.***I had no knowledge of the game.I was meant to have died.And yet, I found myself in this situation.A game I had never played before. A character I was unfamiliar with, and... A world that seemed to want to swallow me whole with every move I made.What the hell is going on?...and who am I?","Fantasy, Romance, Video Games, Action, Tragedy, Comedy, Slice of Life, Male Protagonist, No Harem, Academy, Genius Protagonist, Level System, Virtual Reality, Transmigration, Amnesia, Game Elements, Transported into a Game World, Weak to Strong, ",4.5,16
The Mirror Legacy,Ji Yueren,"Lu Jiangxian died after staying up late one night. Yet, he finds his soul trapped in a fractured, bluish-gray bronze mirror. He falls into a boundless world of immortal cultivation and finds himself in the perilous landscape of Mount Dali. There, a small family from a small village by Meiche River picked the mirror up and is bestowed with the ancient teachings of the immortal ways, heralding the dawn of a splendid new era.","Action, Mystery, Tragedy, Xianxia, Alchemy, Clan Building, Cultivation, Dark, Death, Kingdom Building, Male Protagonist, Non-humanoid Protagonist, Schemes And Conspiracies, Sentient Objects, Transmigration, ",4.9,90
My Longevity Simulation,Angry Squid,"The path of immortality is nigh unachievable.Furthermore, the immortal world has been completely transformed by a plague!When immortals contact infected mortals, their cultivation bases fall, or worse, they return to the heavens; thus, the immortal and mortal realms have been eternally separated.Moreover, all immortal arts may only have one practitioner; thus, the world of immortality has become a dark forest.…Although Li Fan had grand ambitions when he first transmigrated to this world, he could only be trapped in mediocrity, slowly wasting away his mundane life.Fortunately, as he was dying, he finally awakened a supreme treasure that could turn truth into lie and reality into dream, reversing time to when he first arrived!Following this, Li Fan embarked on his endless path to immortality!In his second life, Li Fan ascended through politics and ruled the world after 50 years, but after searching worldwide, he found no trace of the Immortal Dao. Only at the end of his life could he glimpse the immortal path.In the third life, despite immense efforts and carefully laid schemes, Li Fan ultimately couldn’t resist a single strike of an immortal’s sword!In the fourth life……I, Li Fan, an ordinary mortal, will harbor no regrets throughout a thousand lifetimes, all for the pursuit of immortality!","Action, Adventure, Horror, Mature, Mystery, Psychological, Xianxia, Antihero Protagonist, Appearance Changes, Calm Protagonist, Cautious Protagonist, Charismatic Protagonist, Clever Protagonist, Clones, Cultivation, Cunning Protagonist, Dao Comprehension, Evil Protagonist, Game Elements, Hard-Working Protagonist, Hiding True Abilities, Hiding True Identity, Low-key Protagonist, Male Protagonist, Manipulative Characters, Mature Protagonist, Pragmatic Protagonist, Proactive Protagonist, Ruthless Protagonist, Schemes And Conspiracies, Second Chance, Secretive Protagonist, Time Loop, Time Manipulation, Transmigration, ",4.6,85
Paladin of the Dead God,Chomae,"The only Paladin of the forgotten god, Nameless Chaos, and also the only Pope, Priest, and Worshipper.","Action, Adventure, Fantasy, Mystery, Psychological, Supernatural, Ability Steal, Angels, Calm Protagonist, Charismatic Protagonist, Charming Protagonist, Cold Protagonist, Cunning Protagonist, Demons, Depictions of Cruelty, Evil Gods, Evil Organizations, Fantasy World, Game Elements, God-human Relationship, Gods, Gore, Handsome Male Lead, Hiding True Abilities, Hiding True Identity, Humanoid Protagonist, Male Protagonist, Manipulative Characters, Misunderstandings, Multiple POV, Obsessive Love, Reincarnated in a Game World, Romantic Subplot, Skill Assimilation, Strong to Stronger, Sword Wielder, Tentacles, Transmigration, Vampires, ",4.3,210
Academy’s Second Seat,Maemi Yoon,"He became the villain in the possessed game, the rival of the main character, and the second seat.","Action, Fantasy, Harem, Romance, School Life, Slice of Life, Academy, Aristocracy, Beautiful Female Lead, Complex Family Relationships, Dense Protagonist, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Kind Love Interests, Knights, Love Interest Falls in Love First, Magic, Magic Formations, Male Protagonist, Misunderstandings, Nobles, Older Love Interests, Personality Changes, Polygamy, Royalty, Sibling Rivalry, Strong Love Interests, Student Council, Summoning Magic, Sword And Magic, Teachers, Tragic Past, Transmigration, Transported into a Game World, Wizards, Younger Love Interests, ",3.7,283
Doomsday Spiritual Artifact Master,Qin Yao,"As the apocalypse arrives, Song Ke, who grew up in the abandoned area, unexpectedly awakens her special ability. Within her field of vision, all objects can be transformed into handy spiritual tools with just a thought. She becomes the sharpest blade, now possessing the most flexible scabbard. Wherever she goes, zombies of all kinds cower in fear.After wandering alone for several days, Song Ke encounters a troublesome man. The man has a broken leg, and speaks weakly as if on the verge of death, yet there’s a smile at the corner of his mouth that is strangely beguiling.“Little girl, I have nothing to offer you in return. How about offering myself to you?”Suspiciously eyeing him for a couple of seconds, Song Ke slowly summons her spiritual tool.“Speak up, how do you want to… die?”One thing leads to another, and her adventurous path… takes a peculiar turn? She ends up gathering a series of strange teammates.A year after the apocalypse, a bizarre rumor circulates among the major surviving bases:It’s said that the top-ranked awakener team “V587” on the scoreboard are all burly and sturdy, capable of frightening children with their bear-like physiques and iron-like strength.Their name alone exudes power: V587, how commanding and domineering!V587 punches the Zombie King, kicks mutant beasts, robs the Death Prison of Sin City, and KOs the tyrannical rulers of District C with one move!No matter how difficult the mission, it’s flawlessly cleared when it falls into their hands.Their feats become the talk of the Alliance, earning admiration from countless ability users.Until the grand opening of the inaugural global awakeners challenge, the enigmatic V587 members gather, making their first appearance.The crowd’s faces turn dumbfounded, “Wait, who are these elderly, young, sick, and two wheelchair-bound cripples? V587? Nooo!”Overpowered Stutterer x Cunning Smiling Tiger【Reading Guide】This is not a space-oriented story. It’s set in an alternative future with a significant technological gap (about 50 years ahead) and uses fictional terms with no direct prototypes.Combines superpowers with cyberpunk elements, featuring a main storyline alongside team adventures.Team recruitment is relatively slow at the beginning. The protagonist’s team consists of 7 members, each with their own flaws.","Action, Adventure, Romance, Sci-fi, Supernatural, Apocalypse, Artificial Intelligence, Battle Competition, Beautiful Female Lead, Betrayal, Black Belly, Death, Death of Loved Ones, Disabilities, Female Protagonist, Handsome Male Lead, Hiding True Identity, Mutated Creatures, Naive Protagonist, Post-apocalyptic, Protagonist Strong from the Start, Schemes And Conspiracies, Slow Romance, Special Abilities, Strong Love Interests, Strong to Stronger, Survival, Teamwork, Unique Weapon User, Zombies, ",4.7,432
I Became a Genius Mage in the Cthulhu Game,Precious Child,"Paju, the city of hope, peace and madness.And the tale of a mage trapped in a bizarre world.“In his house at R’lyeh, dead Cthulhu waits dreaming.”","Horror, Fantasy, Mature, Supernatural, Action, Adventure, Mystery, Accelerated Growth, Artifacts, Dark, Demons, Depictions of Cruelty, Evil Gods, Game Elements, Genius Protagonist, Gods, Gore, Level System, Magic, Male Protagonist, Modern Day, Monsters, Multiple POV, Mythical Beasts, Mythology, Overpowered Protagonist, Protagonist Strong from the Start, Quirky Characters, Schemes And Conspiracies, Sickly Characters, Strong to Stronger, Transmigration, Transported into a Game World, ",4.2,609
30 Years Have Passed Since the Prologue,Makelaha,"I got transmigrated into a game I’ve never seen before.I thought it was a top-notch RPG and spent 30 years on it.I retired as a war hero and planned to spend my remaining time leisurely.But it turns out, it was an academy story?","Action, Adventure, Comedy, Fantasy, Harem, Mystery, School Life, Academy, Assassins, Award-winning Work, Calm Protagonist, Clever Protagonist, Cold Protagonist, Demon Lord, Demons, Dense Protagonist, Determined Protagonist, Dragons, Evil Organizations, Fantasy World, Firearms, Harsh Training, Heroes, Hiding True Identity, Magic, Male Protagonist, Misunderstandings, Multiple Reincarnated Individuals, Multiple Transported Individuals, Mysterious Past, Nobles, Organized Crime, Overpowered Protagonist, Past Plays a Big Role, Past Trauma, Politics, Possession, Pragmatic Protagonist, Proactive Protagonist, Protagonist Strong from the Start, Reincarnated in a Game World, Reincarnated in Another World, Reincarnation, Religions, Royalty, Ruthless Protagonist, Saints, Schemes And Conspiracies, S*aves, Special Abilities, Strong to Stronger, Student-Teacher Relationship, Terrorists, Tragic Past, Transmigration, Wars, Yandere, ",4.0,589
I Became An Immortal On Mortal Realm,Ren Wo Xiao,"Reincarnated as the son of the Duke in the Qi Dynasty, Fang Wang's mind housed a Heavenly Palace, where his consciousness could enter to cultivate. He could practice any cultivation technique or secret art to great perfection, only emerging when it was truly perfect. No matter how long he spent in the Heavenly Palace, in reality, it was but a moment's time.At the tender age of sixteen, Fang Wang stumbled upon the mythic realm of martial arts, unbeknownst to anyone else.However...One day, Fang Wang overheard whispers that Zhou Xue, the foster daughter of his uncle, had gone mad, prophesying doom for the Fang household.Curiosity piqued, Fang Wang stealthily approached Zhou Xue's room, catching her muttering to herself, ""Sigh, even as a former celestial dignitary, I find myself powerless to alter the fate of my family. Is the heavens playing tricks on me... If only I could rewind time by just one month...""A reincarnated celestial dignitary? Fang Wang's perception shattered, a mix of shock and excitement washing over him.Who needs martial arts when you can ascend to immortality?Embarking on a journey spanning the vast landscapes, Fang Wang sought the one celestial art in the mortal realm capable of turning one into an immortal god.","Xuanhuan, Action, Fantasy, Martial Arts, Adventure, Male Protagonist, Cultivation, Ancient Times, Genius Protagonist, Fast Cultivation, Fast Learner, Multiple Reincarnated Individuals, ",4.1,68
The First Legendary Beast Master,Aoki_Aku,"Born into a dirt poor mining family, Karl only had one chance to get ahead in life, the annual elite recruitment day. On their final day of middle school, every student in the Golden Dragon Nation was given an experimental injection to awaken their affinity with magic.Those few who succeeded would become the Elite, the leaders and idols of the nation, blessed with incredible magical powers and respected by all. Those who did not would return to their normal lives of hard work and low wages, just doing the best they could.But with the nation surrounded by enemies, both humans and monsters, how long would these peaceful days of magical idols last?Follow the story of Karl as he awakens a unique power and strives to become the world's first Legendary Beast Master.","Fantasy, Action, Adventure, Harem, Comedy, System, Harem, R-18, Comedy, Magic, Cultivation, Action, Adventure, Beasts, ",4.0,55
A Soldier's Life,Alwaysrollsaone,Generic story of being transported to another world.The MC is forced into the military in a fantasy setting and rises through the ranks while keeping his true ability secret.This is my attempt to add some humor to my writing. Hope you enjoy it.,"Historical, Mature, Slice of Life, Adventure, Fantasy, Action, Adult, Character Growth, Dragon Riders, Dungeons, Empires, Fantasy Creatures, Fantasy World, Hiding True Abilities, Kingdoms, Magic, Mercenaries, Military, Monsters, Orcs, Sword And Magic, Transported into Another World, Underestimated Protagonist, ",4.7,74
