Title,Author,Summary,Categories,Tags,Rating,Rank,Chapters
I Became The Necromancer Of The Academy,_172,"In a world where magic rules, I find myself at the prestigious academy, wielding a dark and feared power—necromancy. My journey is fraught with challenges as I learn to control the spirits that scream out and seek vengeance. Awakening and channeling their grudges into formidable strength, I vow to save them and uncover the secrets hidden within the academy's walls.","Action, Adventure, Drama, Fantasy, Harem, Horror, Mature, Psychological, Romance, School Life, Supernatural, Tragedy","Academy, Apathetic Protagonist, Aristocracy, Arranged Marriage, Beautiful Female Lead, Broken Engagement, Calm Protagonist, Charismatic Protagonist, Cunning Protagonist, Demons, Determined Protagonist, Ghosts, Handsome Male Lead, Hated Protagonist, Love Interest Falls in Love First, Magic, Maids, Male Protagonist, Mature Protagonist, Misunderstandings, Multiple POV, Necromancer, Obsessive Love, Past Plays a Big Role, Past Trauma, Previous Life Talent, Romantic Subplot, Saving the World, Seeing Things Other Humans Can't, Selfless Protagonist, Spirit Advisor, Spirit Users, Spirits, Teachers, Transmigration, Transported into a Game World, Yandere, ",4.9,38,238
The Narrow-Eyed Villain of the Demon Academy,Ahoe,"The worst and strongest villain.I became the narrow-eyed character Arsene Adel.“Revenge.”It sounded good.At least to the original owner of the body.But from my point of view, the goal is not revenge, but survival.I didn’t have the confidence to survive among humans, soㅡI went to the Demon Realm.Where I was headed,A school for demons that is said to be attended by the children of prestigious families in the demon world,……It was a school that terrorized the human world.","Action, Adventure, Comedy, Fantasy, Martial Arts, School Life, Supernatural, Tragedy","Academy, Aristocracy, Army, Assassins, Calm Protagonist, Clever Protagonist, Demi-Humans, Demons, Game Elements, Gods, Hiding True Identity, Magic, Male Protagonist, Misunderstandings, Monsters, Nobles, Seven Deadly Sins, Special Abilities, Strong to Stronger, Sword And Magic, Transmigration, Wars, ",4.1,136,396
The Reincarnated Extra,Murasaki Murabe,"Aihara Runa was a person who had been living in hell of misfortune. One day she found herself in a strange stage, apparently her soul was reaped without permission and sold at an auction to gods from another world along with her 28 classmates. But there was a trouble, it seems that Aihara’s soul was extremely smelly and stinky. Instead of getting a buyer, she was thrown away and with her soul in danger of disappearing.However, when her soul was about disappear, she met an unnamed goddess who claimed herself as a god’s vessel. The goddess said that she can help Aihara to get reincarnated but with one condition, that is to bring her along and get reincarnated together. Aihara who was about disappeared accepted the goddess’ condition and got reincarnated successfully as Emmy. But apparently, the hard life still continued even after reincarnated too….If there’s no food, then let’s get some bugs!!! Let’s just enjoy this hard life together with the reliable partner [Omake-sama] inside my head and have fun instead.As Emmy managed to survive while watching and getting involved in the events of another cheat reincarnations, she grew into an irregular. This is a story about Emmy, a soul who managed to survive from disposal by gods. However, she doesn’t know that her reincarnation did not list in fate’s archive and unconsciously broke the gods’ scenario one after another.","Action, Adventure, Comedy, Fantasy, Tragedy","Abandoned Children, Age Progression, Anti-social Protagonist, Antihero Protagonist, Apathetic Protagonist, Appearance Changes, Awkward Protagonist, Brainwashing, Bullying, Calm Protagonist, Carefree Protagonist, Child Abuse, Child Protagonist, Cruel Characters, Demon Lord, Demons, Discrimination, Fantasy World, Female Protagonist, Genius Protagonist, God-human Relationship, Gods, Hated Protagonist, Heroes, Kingdoms, Loner Protagonist, Magic, Misunderstandings, Mob Protagonist, Monsters, Multiple POV, Quiet Characters, Racism, Reincarnated in Another World, Spirits, Stoic Characters, Survival, Sword And Magic, Tentacles, Unlucky Protagonist, Weak to Strong, ",4.2,146,630
Who Let Him Cultivate Immortality!,The Whitest Raven,"“I’ve repeatedly emphasized that the atmosphere in the cultivation world is inherently skewed, not skewed by me. It’s said that history is written by the victors, so why am I still being slandered when I’ve won?” Lu Yang, the Sword Immortal, said in an interview with reporters, expressing great anger.The next day.“I’ve repeatedly emphasized that the atmosphere in the cultivation world is skewed by me. History is written by the victors, and I won!” Lu Yang, the Sword Immortal, said in an interview with reporters, expressing great anger. —《Cultivation Daily》 reports for you.","Action, Adventure, Comedy, Fantasy, Xianxia","Clever Protagonist, Comedic Undertone, Cultivation, Male Protagonist, Shameless Protagonist, Transmigration, Transported to Another World, Weak to Strong, ",4.5,89,430
A Depressed Kendo Player Possesses a Bastard Aristocrat,Amateth Hyung,"After a life filled with disappointment, a kendo player finds solace in an unexpected transmigration. Possessing the body of a bastard aristocrat in a different world, he vows to find true happiness this time. With new opportunities and challenges, he strives to overcome his past regrets and fulfill his promise to his mother.","Action, Drama, Fantasy, Harem, Mature, Psychological, School Life, Tragedy","Abusive Characters, Academy, Aristocracy, Assassins, Awkward Protagonist, Broken Engagement, Child Abuse, Childhood Friends, Complex Family Relationships, Cowardly Protagonist, Dark, Death, Death of Loved Ones, Delusions, Demons, Dense Protagonist, Depictions of Cruelty, Depression, Dishonest Protagonist, Drugs, Elemental Magic, Emotionally Weak Protagonist, Evil Organizations, Evil Religions, Family Conflict, Fantasy Creatures, Fantasy World, Flashbacks, Game Elements, Goddesses, Gods, Handsome Male Lead, Harsh Training, Hated Protagonist, Helpful Protagonist, Hidden Abilities, Hiding True Abilities, Indecisive Protagonist, Inferiority Complex, Lack of Common Sense, Loneliness, Magic, Magic Beasts, Maids, Male Protagonist, Mind Break, Misunderstandings, Mob Protagonist, Monsters, Multiple Realms, Naive Protagonist, Nobles, Outcasts, Overpowered Protagonist, Past Plays a Big Role, Past Trauma, Personality Changes, Possession, Protagonist Strong from the Start, Psychopaths, Reincarnated in Another World, Reincarnation, Sadistic Characters, Schizophrenia, Second Chance, Secret Organizations, Selfless Protagonist, Sickly Characters, Social Outcasts, Special Abilities, Strong to Stronger, Suicides, Sword And Magic, Sword Wielder, System Administrator, Timid Protagonist, Torture, Tragic Past, Twisted Personality, Unreliable Narrator, Younger Sisters, ",3.8,139,216
Academy’s Second Seat,Maemi Yoon,"Title: Academy’s Second Seat (Rank: 283) Summary: He became the villain in the possessed game, the rival of the main character, and the second seat.","Action, Fantasy, Harem, Romance, School Life, Slice of Life","Academy, Aristocracy, Beautiful Female Lead, Complex Family Relationships, Dense Protagonist, Game Elements, Handsome Male Lead, Hard-Working Protagonist, Kind Love Interests, Knights, Love Interest Falls in Love First, Magic, Magic Formations, Male Protagonist, Misunderstandings, Nobles, Older Love Interests, Personality Changes, Polygamy, Royalty, Sibling Rivalry, Strong Love Interests, Student Council, Summoning Magic, Sword And Magic, Teachers, Tragic Past, Transmigration, Transported into a Game World, Wizards, Younger Love Interests, ",3.7,283,305
Paladin of the Dead God,Chomae,"In a world where gods are worshipped and revered, one god has been forgotten—Nameless Chaos. As the sole Paladin, Pope, Priest, and Worshipper of this forsaken deity, I bear the weight of its lost legacy. With no one else to share the burden, I strive to revive the memory of Nameless Chaos and wield its power to challenge the established order. My journey is filled with peril, but I am determined to honor the god that the world has forsaken.","Action, Adventure, Fantasy, Mystery, Psychological, Supernatural","Ability Steal, Angels, Calm Protagonist, Charismatic Protagonist, Charming Protagonist, Cold Protagonist, Cunning Protagonist, Demons, Depictions of Cruelty, Evil Gods, Evil Organizations, Fantasy World, Game Elements, God-human Relationship, Gods, Gore, Handsome Male Lead, Hiding True Abilities, Hiding True Identity, Humanoid Protagonist, Male Protagonist, Manipulative Characters, Misunderstandings, Multiple POV, Obsessive Love, Reincarnated in a Game World, Romantic Subplot, Skill Assimilation, Strong to Stronger, Sword Wielder, Tentacles, Transmigration, Vampires, ",4.3,210,404
Advent of the Three Calamities,Entrail_JI,"[From the Author of Author's POV...]Emotions are like a drug to us.The more we experience them, the more we become addicted.The hardest part is not letting them consume us.But it's already too late for me.I've already been swallowed whole.***I had no knowledge of the game.I was meant to have died.And yet, I found myself in this situation.A game I had never played before. A character I was unfamiliar with, and... A world that seemed to want to swallow me whole with every move I made.What the hell is going on?...and who am I?","Fantasy, Romance, Video Games, Action, Tragedy, Comedy, Slice of Life","Male Protagonist, No Harem, Academy, Genius Protagonist, Level System, Virtual Reality, Transmigration, Amnesia, Game Elements, Transported into a Game World, Weak to Strong, ",4.6,16,519
Genetic Ascension,Awespec,"The people of Earth have been summoned once againScientists document six extinction events in Earth's history, but none of them were as natural as they claimed.Sylas and his family have been called back to the Browns, a family of billionaire elites with assets reaching into the trillions. He isn't sure what to expect until he touches a floating bronze cube that changes his life.[Bronze City Stele][Status: Dormant][Time to Activation: 04:13:38]Unfortunately, there's only one Stele and the Browns have already decided upon their candidates. If Sylas wants to control his own fate, he'll have to enter the Trial.Now, woefully unprepared, and stuck in a world filled with the extinct creatures of Earth, he'll have to carve out his own opportunity... whether the Browns like it or not.","Fantasy, Action, Adventure","Action, System, Overpowered, Survival, Mystery, Dark, Adventure, Weak to Strong, ",4.2,39,841
I Became a Genius Mage in the Cthulhu Game,Precious Child,"In Paju, a city that teeters on the edge of hope, peace, and madness, a mage finds himself trapped in a bizarre world influenced by the eerie presence of Cthulhu. As the boundaries between reality and nightmare blur, he must navigate this unsettling realm and uncover its dark secrets. With the chilling reminder that ""In his house at R’lyeh, dead Cthulhu waits dreaming,"" he faces eldritch horrors and unimaginable challenges on his quest for survival and mastery over his newfound powers.","Horror, Fantasy, Mature, Supernatural, Action, Adventure, Mystery","Accelerated Growth, Artifacts, Dark, Demons, Depictions of Cruelty, Evil Gods, Game Elements, Genius Protagonist, Gods, Gore, Level System, Magic, Male Protagonist, Modern Day, Monsters, Multiple POV, Mythical Beasts, Mythology, Overpowered Protagonist, Protagonist Strong from the Start, Quirky Characters, Schemes And Conspiracies, Sickly Characters, Strong to Stronger, Transmigration, Transported into a Game World, ",4.2,609,166
Doomsday Spiritual Artifact Master,Qin Yao,"As the apocalypse arrives, Song Ke, who grew up in the abandoned area, unexpectedly awakens her special ability. Within her field of vision, all objects can be transformed into handy spiritual tools with just a thought. She becomes the sharpest blade, now possessing the most flexible scabbard. Wherever she goes, zombies of all kinds cower in fear.After wandering alone for several days, Song Ke encounters a troublesome man. The man has a broken leg, and speaks weakly as if on the verge of death, yet there’s a smile at the corner of his mouth that is strangely beguiling.“Little girl, I have nothing to offer you in return. How about offering myself to you?”Suspiciously eyeing him for a couple of seconds, Song Ke slowly summons her spiritual tool.“Speak up, how do you want to… die?”One thing leads to another, and her adventurous path… takes a peculiar turn? She ends up gathering a series of strange teammates.A year after the apocalypse, a bizarre rumor circulates among the major surviving bases:It’s said that the top-ranked awakener team “V587” on the scoreboard are all burly and sturdy, capable of frightening children with their bear-like physiques and iron-like strength.Their name alone exudes power: V587, how commanding and domineering!V587 punches the Zombie King, kicks mutant beasts, robs the Death Prison of Sin City, and KOs the tyrannical rulers of District C with one move!No matter how difficult the mission, it’s flawlessly cleared when it falls into their hands.Their feats become the talk of the Alliance, earning admiration from countless ability users.Until the grand opening of the inaugural global awakeners challenge, the enigmatic V587 members gather, making their first appearance.The crowd’s faces turn dumbfounded, “Wait, who are these elderly, young, sick, and two wheelchair-bound cripples? V587? Nooo!”Overpowered Stutterer x Cunning Smiling Tiger【Reading Guide】This is not a space-oriented story. It’s set in an alternative future with a significant technological gap (about 50 years ahead) and uses fictional terms with no direct prototypes.Combines superpowers with cyberpunk elements, featuring a main storyline alongside team adventures.Team recruitment is relatively slow at the beginning. The protagonist’s team consists of 7 members, each with their own flaws.","Action, Adventure, Romance, Sci-fi, Supernatural","Apocalypse, Artificial Intelligence, Battle Competition, Beautiful Female Lead, Betrayal, Black Belly, Death, Death of Loved Ones, Disabilities, Female Protagonist, Handsome Male Lead, Hiding True Identity, Mutated Creatures, Naive Protagonist, Post-apocalyptic, Protagonist Strong from the Start, Schemes And Conspiracies, Slow Romance, Special Abilities, Strong Love Interests, Strong to Stronger, Survival, Teamwork, Unique Weapon User, Zombies, ",4.7,432,270
My Longevity Simulation,Angry Squid,"The path of immortality is nigh unachievable.Furthermore, the immortal world has been completely transformed by a plague!When immortals contact infected mortals, their cultivation bases fall, or worse, they return to the heavens; thus, the immortal and mortal realms have been eternally separated.Moreover, all immortal arts may only have one practitioner; thus, the world of immortality has become a dark forest.…Although Li Fan had grand ambitions when he first transmigrated to this world, he could only be trapped in mediocrity, slowly wasting away his mundane life.Fortunately, as he was dying, he finally awakened a supreme treasure that could turn truth into lie and reality into dream, reversing time to when he first arrived!Following this, Li Fan embarked on his endless path to immortality!In his second life, Li Fan ascended through politics and ruled the world after 50 years, but after searching worldwide, he found no trace of the Immortal Dao. Only at the end of his life could he glimpse the immortal path.In the third life, despite immense efforts and carefully laid schemes, Li Fan ultimately couldn’t resist a single strike of an immortal’s sword!In the fourth life……I, Li Fan, an ordinary mortal, will harbor no regrets throughout a thousand lifetimes, all for the pursuit of immortality!","Action, Adventure, Horror, Mature, Mystery, Psychological, Xianxia","Antihero Protagonist, Appearance Changes, Calm Protagonist, Cautious Protagonist, Charismatic Protagonist, Clever Protagonist, Clones, Cultivation, Cunning Protagonist, Dao Comprehension, Evil Protagonist, Game Elements, Hard-Working Protagonist, Hiding True Abilities, Hiding True Identity, Low-key Protagonist, Male Protagonist, Manipulative Characters, Mature Protagonist, Pragmatic Protagonist, Proactive Protagonist, Ruthless Protagonist, Schemes And Conspiracies, Second Chance, Secretive Protagonist, Time Loop, Time Manipulation, Transmigration, ",4.6,85,612
I Became An Immortal On Mortal Realm,Ren Wo Xiao,"Reincarnated as the son of the Duke in the Qi Dynasty, Fang Wang's mind housed a Heavenly Palace, where his consciousness could enter to cultivate. He could practice any cultivation technique or secret art to great perfection, only emerging when it was truly perfect. No matter how long he spent in the Heavenly Palace, in reality, it was but a moment's time.At the tender age of sixteen, Fang Wang stumbled upon the mythic realm of martial arts, unbeknownst to anyone else.However...One day, Fang Wang overheard whispers that Zhou Xue, the foster daughter of his uncle, had gone mad, prophesying doom for the Fang household.Curiosity piqued, Fang Wang stealthily approached Zhou Xue's room, catching her muttering to herself, ""Sigh, even as a former celestial dignitary, I find myself powerless to alter the fate of my family. Is the heavens playing tricks on me... If only I could rewind time by just one month...""A reincarnated celestial dignitary? Fang Wang's perception shattered, a mix of shock and excitement washing over him.Who needs martial arts when you can ascend to immortality?Embarking on a journey spanning the vast landscapes, Fang Wang sought the one celestial art in the mortal realm capable of turning one into an immortal god.","Xuanhuan, Action, Fantasy, Martial Arts, Adventure","Male Protagonist, Cultivation, Ancient Times, Genius Protagonist, Fast Cultivation, Fast Learner, Multiple Reincarnated Individuals, ",4.1,68,485
I Shall Be Everlasting In the World of Immortals,Fast Food Restaurant,"Lan Chang’an has gone through two lifetimes of reincarnations, and in the third life, he aimed for stability until reaching the Nascent Soul Realm in hopes of unraveling the mysteries of the Nine Seal Stele. Consequently, he cultivated the Ancient Trees Evergreen Technique, which wielded modest power in return for greater lifespan.His approach is not one of fearlessly engaging in battles, but of navigating with steady precision and forging meaningful bonds with others.Throughout his long cultivation journey, he encountered individuals at various stages of their cultivation, including a Decent Faction Head, a Prodigious Beauty, a Giant Demon Lord, an Evil Cultivator, a Thousand-Year Old Demon, and a Puppet Master Pulling Strings From Behind The Scene.Observing the ebb and flow of the world, witnessing its ups and downs, he unknowingly became a living fossil in the realm of cultivation, akin to an evergreen tree spanning through eternity.In the world of mortals, the flow of life is steady, shrouded in the illusion of longevity, yet decisions are made decisively, with a clear sense of morality.","Action, Martial Arts, Romance, Slice of Life, Supernatural, Xianxia","Calm Protagonist, Caring Protagonist, Cautious Protagonist, Charismatic Protagonist, Cheats, Clever Protagonist, Confident Protagonist, Cultivation, Dao Comprehension, Distrustful Protagonist, Friendship, Hiding True Abilities, Low-key Protagonist, Male Protagonist, Strength-based Social Hierarchy, Transmigration, Unique Cultivation Technique, Weak to Strong, ",4.8,195,311
The Mirror Legacy,Ji Yueren,"Lu Jiangxian died after staying up late one night. Yet, he finds his soul trapped in a fractured, bluish-gray bronze mirror. He falls into a boundless world of immortal cultivation and finds himself in the perilous landscape of Mount Dali. There, a small family from a small village by Meiche River picked the mirror up and is bestowed with the ancient teachings of the immortal ways, heralding the dawn of a splendid new era.","Action, Mystery, Tragedy, Xianxia","Alchemy, Clan Building, Cultivation, Dark, Death, Kingdom Building, Male Protagonist, Non-humanoid Protagonist, Schemes And Conspiracies, Sentient Objects, Transmigration, ",4.9,90,570
A Soldier's Life,Alwaysrollsaone,"Transported to another world, the main character is thrust into a military life in a fantasy setting. With a unique ability kept hidden, they navigate the ranks and face various challenges. This story blends humor with classic tropes, offering a light-hearted take on the journey of an ordinary person rising to extraordinary circumstances.","Historical, Mature, Slice of Life, Adventure, Fantasy, Action, Adult","Character Growth, Dragon Riders, Dungeons, Empires, Fantasy Creatures, Fantasy World, Hiding True Abilities, Kingdoms, Magic, Mercenaries, Military, Monsters, Orcs, Sword And Magic, Transported into Another World, Underestimated Protagonist, ",4.7,74,183
"I’m an Infinite Regressor, But I’ve Got Stories to Tell",Sinnoa,"[Infinite Regression Genre]
In any fantasy novel, regression is a guaranteed cheat key!What if it’s the ability of [Infinite Regression]?There’d be no need to worry about any bad endings. After all, the protagonist would eventually reach a happy ending.“Cheat key, my foot.”I tried it myself just to find out otherwise.The myths of regressors’ success depicted in all those novels are actually fake…It was all just vile propaganda!“This run is doomed too.”This is not a story of success; it’s a tale on the aftermath of failures.Thus begins the heartfelt documentary of a man with 1183 runs of experience!","Action, Drama, Fantasy, Seinen, Tragedy","Antihero Protagonist, Apocalypse, Calm Protagonist, Caring Protagonist, Clever Protagonist, Comedic Undertone, Death, Determined Protagonist, Eidetic Memory, Fairies, Gate to Another World, Guilds, Helpful Protagonist, Magic, Male Protagonist, Mature Protagonist, Modern Day, Monsters, Mysterious Past, Non-linear Storytelling, Overpowered Protagonist, Past Trauma, Polite Protagonist, Previous Life Talent, Righteous Protagonist, Saving the World, Second Chance, Special Abilities, Time Loop, ",4.9,162,278
